Size of N	Russian Peasant Multiplication	Multiplications	Divisions	Additions	Total
1624515	161000	20	20	9	49
1605594	168400	20	20	13	53
1617883	195500	20	20	13	53
1592806	173500	20	20	10	50
1713342	260600	20	20	10	50
1619707	176100	20	20	13	53
1644596	157400	20	20	7	47
1605346	169200	20	20	11	51
1753601	140400	20	20	6	46
1719861	166400	20	20	11	51
1799769	354700	20	20	12	52
1795944	138700	20	20	11	51
1742329	84900	20	20	12	52
1770850	121300	20	20	8	48
1718485	167700	20	20	10	50
1805852	146800	20	20	10	50
1710468	123700	20	20	7	47
1728537	133100	20	20	7	47
1753158	130100	20	20	7	47
1759840	124600	20	20	9	49
1799476	136800	20	20	11	51
1833362	137300	20	20	12	52
1854221	141100	20	20	9	49
1792106	194000	20	20	10	50
1781125	90500	20	20	10	50
1765676	136500	20	20	10	50
1831594	147900	20	20	12	52
1896010	132300	20	20	11	51
1783108	126000	20	20	9	49
1814080	142200	20	20	9	49
1760597	102600	20	20	12	52
1843800	83100	20	20	7	47
1866396	86700	20	20	11	51
1768687	120200	20	20	15	55
1956732	133400	20	20	14	54
1903250	103300	20	20	8	48
1865016	128600	20	20	10	50
1957128	85100	20	20	10	50
1871659	164900	20	20	11	51
2005641	94300	20	20	10	50
2022768	136600	20	20	12	52
1962027	107700	20	20	11	51
2007601	139800	20	20	9	49
2098423	176400	21	21	8	50
1979420	140200	20	20	9	49
2005630	90300	20	20	13	53
2010279	91100	20	20	12	52
2143173	81800	21	21	9	51
1989897	134900	20	20	10	50
1984062	153500	20	20	11	51
2065530	88500	20	20	11	51
2025268	126800	20	20	12	52
2103921	133800	21	21	7	49
2078392	168600	20	20	13	53
2011472	130100	20	20	9	49
2096294	152800	20	20	14	54
2035378	139200	20	20	11	51
2063908	126700	20	20	12	52
2121557	147500	21	21	10	52
2202801	127300	21	21	9	51
2088531	128300	20	20	14	54
2044319	136100	20	20	13	53
2201761	87600	21	21	7	49
2211128	95200	21	21	10	52
2137492	95900	21	21	8	50
2206792	97000	21	21	7	49
2204856	104800	21	21	8	50
2148750	137100	21	21	8	50
2164815	90700	21	21	7	49
2146542	94200	21	21	8	50
2131424	62400	21	21	6	48
2185658	103000	21	21	10	52
2091926	89700	20	20	14	54
2186218	92800	21	21	11	53
2131026	97300	21	21	5	47
2100854	102800	21	21	8	50
2185188	87400	21	21	10	52
2159740	97100	21	21	10	52
2122908	55800	21	21	7	49
2144015	88100	21	21	10	52
2281529	87600	21	21	8	50
2206504	88600	21	21	8	50
2129907	87900	21	21	13	55
2100577	90000	21	21	6	48
2185419	175100	21	21	9	51
2240261	105200	21	21	8	50
2156937	100500	21	21	8	50
2260969	107000	21	21	13	55
2294121	103500	21	21	7	49
2295246	103800	21	21	9	51
2225311	108300	21	21	12	54
2217755	235200	21	21	11	53
2342963	120000	21	21	8	50
2321734	81700	21	21	10	52
2202819	112400	21	21	9	51
2243107	1349900	21	21	8	50
2378785	116700	21	21	6	48
2391351	246000	21	21	12	54
2304926	149600	21	21	11	53
2434460	85400	21	21	9	51
2478702	85700	21	21	11	53
2477066	86500	21	21	8	50
2504619	89700	21	21	12	54
2393868	82000	21	21	7	49
2406286	89700	21	21	11	53
2386022	80500	21	21	8	50
2380893	89800	21	21	9	51
2375215	95600	21	21	11	53
2387470	116600	21	21	9	51
2521722	389300	21	21	12	54
2371292	94500	21	21	10	52
2502179	102000	21	21	9	51
2336166	83800	21	21	10	52
2472237	83700	21	21	11	53
2391885	86900	21	21	12	54
2391197	78400	21	21	11	53
2410191	87600	21	21	11	53
2471112	80700	21	21	9	51
2458380	90300	21	21	7	49
2467273	89300	21	21	10	52
2392682	90800	21	21	7	49
2443060	89800	21	21	9	51
2505952	84500	21	21	9	51
2557710	80800	21	21	9	51
2564722	81800	21	21	9	51
2569195	100000	21	21	13	55
2663962	86300	21	21	8	50
2640780	62000	21	21	8	50
2533732	92600	21	21	9	51
2548855	173400	21	21	12	54
2482987	103100	21	21	11	53
2543783	136600	21	21	10	52
2637932	88100	21	21	6	48
2490805	92900	21	21	8	50
2627652	83200	21	21	5	47
2616469	89200	21	21	12	54
2594852	91600	21	21	8	50
2614312	89700	21	21	9	51
2607549	87100	21	21	13	55
2664621	85000	21	21	9	51
2689633	84000	21	21	7	49
2568338	87000	21	21	8	50
2724400	88000	21	21	7	49
2634456	90700	21	21	8	50
2574922	88000	21	21	9	51
2753143	115900	21	21	9	51
2666414	92400	21	21	12	54
2791283	104300	21	21	12	54
2667759	103900	21	21	12	54
2742191	89000	21	21	14	56
2783942	84100	21	21	11	53
2739035	90900	21	21	12	54
2804568	85600	21	21	10	52
2777999	98400	21	21	11	53
2823917	90700	21	21	12	54
2849087	93900	21	21	14	56
2800782	81300	21	21	11	53
2900921	83900	21	21	10	52
2870432	78800	21	21	9	51
2809188	81500	21	21	11	53
2775362	83100	21	21	8	50
2883665	84900	21	21	5	47
2771271	83000	21	21	9	51
2931898	76100	21	21	12	54
2874549	99300	21	21	13	55
2918345	80600	21	21	10	52
2788328	79900	21	21	10	52
2927848	76300	21	21	10	52
2799586	80200	21	21	12	54
2773338	84900	21	21	9	51
2867632	86300	21	21	9	51
2797141	82400	21	21	11	53
2830743	83000	21	21	11	53
2824751	74500	21	21	11	53
2765415	76400	21	21	10	52
2940800	81100	21	21	10	52
2890446	82600	21	21	10	52
3017831	75000	21	21	10	52
2998080	78400	21	21	11	53
2921591	86100	21	21	11	53
2908815	79200	21	21	10	52
2934082	80000	21	21	8	50
2905677	83100	21	21	10	52
2997939	72800	21	21	14	56
2918729	81400	21	21	8	50
2903748	75400	21	21	9	51
3071505	76700	21	21	11	53
3059608	79700	21	21	12	54
3096806	74800	21	21	10	52
3117306	74700	21	21	12	54
3213658	76700	21	21	8	50
3171210	75200	21	21	8	50
3236354	72100	21	21	6	48
3161032	150300	21	21	9	51
3291221	142700	21	21	9	51
3301937	91700	21	21	8	50
3384264	71700	21	21	10	52
3341641	70400	21	21	12	54
3407985	328000	21	21	6	48
3317971	88700	21	21	9	51
3273840	59100	21	21	10	52
3276934	92800	21	21	5	47
3224506	70200	21	21	11	53
3364019	186700	21	21	11	53
3224451	178200	21	21	9	51
3403398	68300	21	21	12	54
3384092	76500	21	21	10	52
3396681	118800	21	21	10	52
3432669	70500	21	21	10	52
3343879	46200	21	21	8	50
3418533	72900	21	21	9	51
3371383	43100	21	21	13	55
3487124	235000	21	21	10	52
3503299	70400	21	21	11	53
3471840	84700	21	21	11	53
3535815	77700	21	21	14	56
3438208	69700	21	21	8	50
3421432	81900	21	21	10	52
3542897	73000	21	21	11	53
3543626	70200	21	21	8	50
3430014	67600	21	21	12	54
3413841	215800	21	21	9	51
3389824	67300	21	21	9	51
3402591	71300	21	21	15	57
3427832	67200	21	21	11	53
3443332	83700	21	21	7	49
3489726	47500	21	21	15	57
3419234	72900	21	21	8	50
3392930	75500	21	21	10	52
3560479	81000	21	21	11	53
3401133	83100	21	21	13	55
3429398	72300	21	21	8	50
3480880	76500	21	21	9	51
3449047	75300	21	21	10	52
3410791	74900	21	21	10	52
3482196	72000	21	21	8	50
3518450	72800	21	21	14	56
3463458	75200	21	21	9	51
3468861	77300	21	21	13	55
3545190	71300	21	21	9	51
3489807	102000	21	21	8	50
3566386	67400	21	21	11	53
3518192	70500	21	21	12	54
3570141	76400	21	21	14	56
3531246	75100	21	21	13	55
3578201	73100	21	21	11	53
3579978	70500	21	21	8	50
3487735	81800	21	21	15	57
3573149	74100	21	21	11	53
3589470	70100	21	21	12	54
3492893	71300	21	21	10	52
3642348	70100	21	21	13	55
3498535	72000	21	21	10	52
3518351	143800	21	21	14	56
3599859	75700	21	21	15	57
3671920	84800	21	21	8	50
3637456	71600	21	21	8	50
3582270	70400	21	21	12	54
3731325	46900	21	21	15	57
3604006	60400	21	21	13	55
3606789	68700	21	21	8	50
3542731	121400	21	21	11	53
3589410	70600	21	21	9	51
3655761	65100	21	21	10	52
3542049	70400	21	21	7	49
3671892	89800	21	21	8	50
3594241	71000	21	21	8	50
3660197	50200	21	21	13	55
3634625	73400	21	21	12	54
3750994	80700	21	21	10	52
3741460	70700	21	21	9	51
3631670	104400	21	21	12	54
3657078	48800	21	21	14	56
3811587	46200	21	21	8	50
3692251	73300	21	21	12	54
3733563	69900	21	21	12	54
3790523	72600	21	21	14	56
3856593	75700	21	21	11	53
3737458	80300	21	21	10	52
3692530	67500	21	21	12	54
3706668	67200	21	21	10	52
3889450	73100	21	21	11	53
3829125	93700	21	21	11	53
3762667	77600	21	21	13	55
3915929	83600	21	21	10	52
3737635	70600	21	21	7	49
3855447	73400	21	21	12	54
3855051	77500	21	21	12	54
3858140	69200	21	21	14	56
3862711	73200	21	21	13	55
3842035	81900	21	21	15	57
3847196	73600	21	21	10	52
3840594	73900	21	21	10	52
3952478	74200	21	21	13	55
3797220	207500	21	21	11	53
3937406	141400	21	21	11	53
3922478	127700	21	21	13	55
4004778	72900	21	21	12	54
3873021	79700	21	21	13	55
3993402	49200	21	21	14	56
3968751	75300	21	21	14	56
3898658	78000	21	21	12	54
3923035	74800	21	21	14	56
4069818	74400	21	21	12	54
4044225	80500	21	21	12	54
4139478	76300	21	21	13	55
4143991	82400	21	21	16	58
3992069	74600	21	21	10	52
4063592	67800	21	21	8	50
4182623	388100	21	21	15	57
4171678	71400	21	21	15	57
4103011	71300	21	21	13	55
4252395	73100	22	22	10	54
4183668	133200	21	21	14	56
4237862	71700	22	22	7	51
4283633	71200	22	22	10	54
4279976	67000	22	22	8	52
4297794	75000	22	22	6	50
4324403	76400	22	22	11	55
4373023	78400	22	22	11	55
4196373	72600	22	22	4	48
4271503	77600	22	22	10	54
4278178	75100	22	22	8	52
4270800	69800	22	22	7	51
4289344	64600	22	22	7	51
4331098	47400	22	22	8	52
4259581	49300	22	22	14	58
4269232	74400	22	22	6	50
4238921	77900	22	22	8	52
4326400	109800	22	22	2	46
4318007	80000	22	22	11	55
4306343	77000	22	22	11	55
4334139	81400	22	22	8	52
4297123	78200	22	22	8	52
4370725	93900	22	22	8	52
4408302	76600	22	22	11	55
4464959	73500	22	22	9	53
4422365	72900	22	22	13	57
4538655	72800	22	22	9	53
4492424	362800	22	22	6	50
4600005	74400	22	22	8	52
4677095	76900	22	22	14	58
4556041	84400	22	22	7	51
4611939	79500	22	22	12	56
4710980	77100	22	22	9	53
4671636	68700	22	22	8	52
4704003	84700	22	22	10	54
4768606	78300	22	22	10	54
4797342	77400	22	22	11	55
4649640	76000	22	22	10	54
4715076	79000	22	22	10	54
4654752	78200	22	22	7	51
4694115	80700	22	22	9	53
4674313	79100	22	22	9	53
4803216	69400	22	22	7	51
4749898	75500	22	22	9	53
4785689	73400	22	22	7	51
4807880	217400	22	22	9	53
4723539	79200	22	22	8	52
4702119	84600	22	22	15	59
4761181	77200	22	22	10	54
4680985	68500	22	22	11	55
4818925	82900	22	22	12	56
4725180	71100	22	22	9	53
4810769	70700	22	22	7	51
4705252	111500	22	22	12	56
4736559	75400	22	22	9	53
4739496	60200	22	22	7	51
4703551	40600	22	22	13	57
4801684	67400	22	22	7	51
4754255	67100	22	22	10	54
4731969	71300	22	22	6	50
4734460	64300	22	22	12	56
4772125	66300	22	22	9	53
4756300	66300	22	22	8	52
4698372	62200	22	22	8	52
4816438	70000	22	22	12	56
4736428	68300	22	22	8	52
4793931	119100	22	22	9	53
4737345	64700	22	22	6	50
4799410	62800	22	22	11	55
4742895	71900	22	22	13	57
4850542	66100	22	22	9	53
4875730	47900	22	22	10	54
4750038	70400	22	22	11	55
4893954	64300	22	22	8	52
4866075	61800	22	22	7	51
4791716	65800	22	22	9	53
4778999	47700	22	22	14	58
4872683	47900	22	22	12	56
4818690	42500	22	22	7	51
4813437	45700	22	22	12	56
4782623	48700	22	22	12	56
4749520	43500	22	22	8	52
4855581	77200	22	22	10	54
4828345	62500	22	22	11	55
4785550	43100	22	22	8	52
4868298	65400	22	22	8	52
4784554	45500	22	22	7	51
4916901	74900	22	22	9	53
4932932	62900	22	22	8	52
4972662	65800	22	22	11	55
5010210	71500	22	22	9	53
4944006	81900	22	22	9	53
4972185	71200	22	22	13	57
4925346	47000	22	22	10	54
4907777	64400	22	22	8	52
5004876	66100	22	22	10	54
5019354	46700	22	22	11	55
4942357	69000	22	22	10	54
5084938	104600	22	22	10	54
5113331	69000	22	22	11	55
5133920	70700	22	22	9	53
5077078	73500	22	22	11	55
5019497	74400	22	22	11	55
5196012	71500	22	22	11	55
5178375	73500	22	22	8	52
5047086	63400	22	22	9	53
5037850	72800	22	22	12	56
5196155	74600	22	22	13	57
5095885	70900	22	22	11	55
5142868	70900	22	22	11	55
5114913	70800	22	22	7	51
5064785	72300	22	22	8	52
5077912	717800	22	22	12	56
5109446	67800	22	22	13	57
5057555	67700	22	22	9	53
5114223	75300	22	22	11	55
5079362	68600	22	22	7	51
5067003	70400	22	22	12	56
